id,text,difficulty,topics,llm_usefulness,usefulness
2549167,Could you help us?,A1,requests,2.0,8.0
12296677,Add some oil.,A1,"food,requests",2.0,6.0
252916,I don't know you.,A1,negation,2.0,6.0
12093242,She does not want to know them.,A1,negation,2.0,6.0
3168075,Which one is your car?,A1,negation,1.0,7.0
2646012,Start at the beginning.,A1,time,1.0,5.0
12487998,That would be no problem.,A1,negation,1.0,7.0
6267809,I shouldn't need any help.,A2,negation,10.0,7.0
3544611,Do you want to figure out your purpose in life? Live your passion!,A2,"goals,free time",9.0,6.0
1197303,Please turn off the radio.,A2,"requests,free time,hobbies,music",8.0,8.0
7521176,I believe I can handle that.,A2,"emotions,goals",8.0,7.0
8053427,He's so smart and funny.,A2,emotions,8.0,7.0
2728895,He majored in literature at the university.,A2,"school,books",8.0,7.0
8850433,I'd never have done that if you hadn't been there.,A2,"negation,emotions",8.0,7.0
13180978,Your words totally changed my life.,A2,emotions,8.0,7.0
1837977,I'll teach you everything you need to know.,A2,"language learning,goals,future plans",8.0,8.0
2483174,This really isn't a good time.,A2,"time,emotions,negation",8.0,7.0
54296,I'll make every possible effort to meet your request.,A2,"emotions,requests,future plans",8.0,8.0
11371808,Ziri looked around.,A2,emotions,8.0,6.0
72437,I'd like to reserve a table for four at six.,A2,"requests,time",8.0,9.0
2795088,I need help!,A2,requests,8.0,9.0
2436255,There was no internet back then.,A2,"time,negation",8.0,6.0
9649540,Please come back in thirty minutes to get it.,A2,"time,requests,future plans",8.0,7.0
265042,I would like to address two questions.,A2,requests,8.0,6.0
1476745,"I can speak Chinese, but I can't read Chinese.",A2,language learning,8.0,7.0
6456944,Are you willing to learn Kadazan language?,A2,language learning,8.0,4.0
6419484,"Mary is sick, so she can't help us today.",A2,"emotions,negation",8.0,7.0
9733540,Yanni bought his daughter a swing set.,A2,"free time,hobbies,family",8.0,7.0
5729554,Finally we're getting somewhere.,A2,"emotions,future plans",8.0,7.0
8479798,He wasn't quiet.,A2,negation,8.0,7.0
4475046,It's been a pleasure doing business with you.,A2,"work,emotions",8.0,8.0
6899091,Thanks for helping us do that.,A2,emotions,8.0,7.0
5502219,That's a fantastic idea.,A2,emotions,8.0,7.0
1679736,This is the first time I've ever needed help.,A2,"time,goals",8.0,6.0
1779284,Are there people whose mother tongue is Esperanto?,A2,language learning,8.0,6.0
6048809,Do you mind if I go home early?,A2,"requests,free time",8.0,7.0
405341,What will you do when you grow up?,A2,"future plans,school",8.0,6.0
3908730,I should tell them to try it.,A2,"time,future plans",8.0,8.0
10843866,The mouse tried to get away from the cat.,A2,"animals,food",8.0,6.0
3918893,I called him from the hospital.,A2,"requests,time,emotions",7.0,6.0
3903722,I like living with her.,A2,"emotions,free time",7.0,7.0
1526448,Do I need to explain the reason to him?,A2,"requests,negation",7.0,7.0
3680842,He's interested in math.,A2,school,7.0,7.0
8526664,"He's still up, isn't he?",A2,"emotions,negation",7.0,6.0
13015011,I wish you could join me here.,A2,"emotions,requests",7.0,7.0
9931157,Yanni didn't think anything of it.,A2,"emotions,negation",7.0,7.0
2060390,"If you were in my shoes, what would you do?",A2,"emotions,requests",7.0,6.0
13064631,Friendship is a support in difficult times.,A2,emotions,7.0,8.0
2264302,I'm ahead in my work.,A2,"work,goals",7.0,8.0
11631269,Gunter was a very spiritual man.,A2,emotions,7.0,6.0
394278,The question is whether he'll read the letter or not.,A2,"books,future plans,negation",7.0,7.0
10231744,This is exactly what Ziri needs right now.,A2,"emotions,requests",7.0,6.0
12421037,I don't really want to go out today.,A2,"emotions,negation,free time",7.0,6.0
3129193,I must convince her.,A2,"emotions,goals,future plans,requests",7.0,8.0
2542610,I was on the road last summer.,A2,"time,travel",7.0,6.0
12911332,I quickly got up.,A2,emotions,7.0,7.0
253901,"Though I had never met Jim, I could pick him out right away.",A2,emotions,7.0,7.0
5744432,They stuck to their plan.,A2,"future plans,negation",7.0,7.0
39221,Could you please turn your television down?,A2,requests,7.0,8.0
5859686,I've fixed everything.,A2,negation,7.0,6.0
3311042,We're all together right now.,A2,"time,emotions",7.0,8.0
2537283,Your boyfriend's really lucky to have someone like you.,A2,emotions,7.0,6.0
708099,I didn't know she was ill.,A2,"negation,emotions",7.0,7.0
9149689,"Are you going on this bus? ""No, it's too full.""",A2,"travel,negation",7.0,7.0
3722906,I'll let you know when it's time.,A2,"time,future plans",7.0,6.0
6482286,You'll find this lesson easy.,A2,language learning,7.0,6.0
36178,Nancy is afraid of dogs.,A2,"animals,emotions",7.0,7.0
3908107,Tell them I'll be there by 2:30.,A2,"time,future plans",7.0,7.0
1459981,"Meow, said the cat, and it looked at me.",A2,animals,7.0,7.0
11490700,Did they think that I wouldn't notice?,A2,"emotions,negation",7.0,7.0
12647784,Ziri missed his best friend.,A2,emotions,7.0,7.0
33806,Please write with a pen.,A2,requests,7.0,6.0
6236841,"You didn't think you should do that, did you?",A2,"negation,emotions",7.0,5.0
24445,Hundreds of people work in this factory.,A2,work,7.0,7.0
6043994,The ball is in Layla's court.,A2,sports,7.0,6.0
9449006,Don't press that button.,A2,"negation,requests",7.0,6.0
7440473,They said they could handle it.,A2,"work,emotions,future plans",7.0,7.0
6403319,It's Saturday so I don't have to get up for work tomorrow.,A2,"time,work,free time,negation",7.0,6.0
6818720,Sami's daughter is so cute.,A2,emotions,7.0,8.0
2953221,Maybe it just isn't funny.,A2,"emotions,negation",7.0,5.0
7139831,I liked Tom right off.,A2,emotions,7.0,6.0
3178614,It's probably hard.,A2,emotions,7.0,6.0
253725,I don't know this neighborhood too well.,A2,"travel,negation",7.0,6.0
11111190,I wouldn't do something like that.,A2,negation,7.0,6.0
6202983,Are your children already grown up?,A2,"animals,emotions",7.0,7.0
1815264,"Cyprus is called ""Kıbrıs"" in Turkish.",A2,language learning,7.0,9.0
11446114,I showed Linda that.,A2,free time,7.0,5.0
2713310,I had a very strange dream.,A2,"emotions,free time",7.0,7.0
7174194,I thought that I told you never to go there alone.,A2,"negation,requests,emotions",7.0,7.0
9796051,Yanni and Skura are married and expecting their first child together.,A2,"emotions,future plans",7.0,6.0
2362784,You're capable.,A2,emotions,7.0,9.0
9995242,Yanni ran to the bathroom.,A2,free time,7.0,6.0
3726087,I forgot who I was talking to.,A2,language learning,7.0,5.0
7217725,I'm afraid that we're out of time.,A2,time,7.0,5.0
2372792,I just might get to like this place.,A2,"emotions,future plans",7.0,7.0
1890730,I'll call you when I get there.,A2,"future plans,travel",7.0,8.0
11992914,No life without water.,A2,"time,goals",7.0,7.0
5938741,You seem very determined.,A2,free time,7.0,7.0
10787909,He's the kindest person I've ever met.,A2,emotions,7.0,6.0
6418420,Mary says she finished writing the report.,A2,"work,language learning",7.0,7.0
1159277,"At first, we weren't familiar at all. Over time we got to know each other.",A2,"emotions,time,language learning",6.0,9.0
11416370,She loves it.,A2,emotions,6.0,8.0
2326567,I forgot to do something.,A2,"negation,requests,future plans",6.0,6.0
8249340,That's just my imagination.,A2,emotions,6.0,6.0
2540044,I'm trying to move on with my life.,A2,"goals,emotions",6.0,7.0
6810389,I wanted to say that I was sorry.,A2,emotions,6.0,7.0
4706552,I spent that Saturday afternoon watching TV.,A2,free time,6.0,9.0
3273755,Do you think it's normal to talk like that?,A2,school,6.0,7.0
5836181,I've worked here for many years.,A2,work,6.0,7.0
8890593,I asked somebody to help me.,A2,requests,6.0,7.0
2249807,Please sign these.,A2,requests,6.0,5.0
6311518,We split the pay in half.,A2,money,6.0,7.0
7400642,She told me she plans on going.,A2,future plans,6.0,8.0
456575,Our visit has been very pleasant.,A2,travel,6.0,8.0
2359235,I've been sitting here for three hours.,A2,time,6.0,7.0
3018962,Please make some tea.,A2,food,6.0,6.0
11709750,The resort was shut down a long time ago.,A2,time,6.0,6.0
10646970,Can you let me off at the next light?,A2,travel,6.0,7.0
302852,He did not like her manner of speech.,A2,"negation,emotions",6.0,6.0
3819034,We could take turns.,A2,"requests,free time",6.0,7.0
2374024,I just want it the way it was.,A2,"requests,negation",6.0,6.0
10641715,I don't like singing in public.,A2,"negation,music,emotions",6.0,7.0
405520,You shouldn't wait here.,A2,negation,6.0,8.0
6439288,How much milk did you drink?,A2,"food,negation",6.0,8.0
7395739,He said that he wouldn't help me.,A2,"negation,emotions",6.0,6.0
6229852,I don't feel like taking my dog for a walk this morning.,A2,"animals,emotions,negation",6.0,7.0
6265239,Do your children drink milk?,A2,"animals,food,negation,requests",6.0,7.0
11889117,"You didn't dress up as Yuri, did you?",A2,"negation,school",6.0,5.0
4710415,I need to get a little sleep.,A2,time,6.0,6.0
6218795,Let's rewind for a moment; what was it that you said to him exactly?,A2,language learning,6.0,6.0
6272268,When will you do that?,A2,future plans,6.0,5.0
24639,"Whatever may happen, I am prepared for it.",A2,future plans,6.0,7.0
1447897,Is there space for one more person?,A2,requests,6.0,7.0
285154,Let him use the telephone.,A2,requests,6.0,8.0
3122318,I know you're disappointed in me.,A2,emotions,6.0,7.0
12099380,This went on for months.,A2,"time,free time",6.0,7.0
5066391,Isn't it better like this?,A2,requests,6.0,7.0
8849867,Yanni removed the hard drive and replaced it with a new one.,A2,work,6.0,6.0
13015301,What is the last thing you do before you go to sleep?,A2,time,6.0,8.0
6425670,Mary can do what she wants to do.,A2,free time,6.0,7.0
10278613,Make sure you arrive on time.,A2,requests,6.0,8.0
3045771,I'll square things with you later.,A2,requests,6.0,6.0
8380046,He was friendly to her.,A2,emotions,6.0,7.0
10166001,I thought you didn't know about it.,A2,negation,6.0,8.0
10778489,You'd better close the door.,A2,requests,5.0,8.0
8282301,I think that we're in this together.,A2,emotions,5.0,8.0
8052448,I need to declutter my home.,A2,free time,5.0,7.0
1160258,"Mr. Holmes, you are very interesting to me.",A2,emotions,5.0,7.0
4141206,I'm sure you've seen everything you need to.,A2,emotions,5.0,6.0
7504027,Did you know that you are stronger than you think you are?,A2,emotions,5.0,6.0
6270389,I wouldn't do that here.,A2,negation,5.0,6.0
4015305,Are you moving back home?,A2,travel,5.0,8.0
3732013,What are you going to tell me now?,A2,requests,5.0,6.0
8532460,She asked him what his last name was.,A2,language learning,5.0,6.0
355633,The only person who is tired of waiting for Miss Cobb.,A2,emotions,5.0,4.0
7245180,Sami bought Layla hair products.,A2,food,5.0,8.0
7493899,Where did Tom take these pictures?,A2,free time,5.0,7.0
285414,I'm looking forward to his present.,A2,free time,5.0,7.0
6807113,Sami had to do that online.,A2,work,5.0,6.0
3735415,"Sooner or later, someone has to speak up.",A2,requests,5.0,6.0
10906774,I wish I had that talent.,A2,emotions,5.0,8.0
12785404,You guys eat fruit.,A2,food,5.0,7.0
8195613,I often listen to your videos.,A2,music,5.0,8.0
5915423,I have some more questions for you.,A2,requests,5.0,7.0
906842,What's your favorite piece of furniture?,A2,food,5.0,7.0
11075237,I don't know why anymore.,A2,negation,5.0,7.0
5744557,That's how I feel anyway.,A2,emotions,5.0,7.0
7212768,I still wish that you'd do that.,A2,emotions,5.0,6.0
7280071,Sami felt immediately nervous.,A2,emotions,5.0,6.0
7392709,He says he doesn't have to do that.,A2,negation,5.0,7.0
8893803,In the early morning the sun dazzles drivers.,A2,weather,5.0,7.0
12909554,He was home yesterday.,A2,free time,5.0,5.0
8243195,"Yes, the cat is big.",A2,animals,5.0,7.0
1096403,It wasn't much of a view.,A2,"negation,free time",5.0,6.0
8218356,I don't think I'd rule that out.,A2,negation,5.0,7.0
371435,He went to the shop.,A2,travel,5.0,8.0
10021839,I have many published books.,A2,books,5.0,6.0
12876208,We went to the only place we could think of.,A2,free time,5.0,6.0
1182667,"By this time tomorrow, we will have already arrived.",A2,emotions,5.0,7.0
6698617,I kept silent because I didn't know what to say.,A2,free time,5.0,7.0
317527,She is very good at changing the subject.,A2,language learning,5.0,7.0
1877499,Tom is the person who helped Mary.,A2,work,5.0,7.0
8521897,She knows that we trust him.,A2,"emotions,school",4.0,8.0
8481651,She's shorter than him.,A2,free time,4.0,6.0
12946733,He doesn't like those pictures.,A2,negation,4.0,7.0
8478101,He tickled her.,A2,emotions,4.0,5.0
3910735,I don't think it's her.,A2,negation,4.0,8.0
70988,Whatever you say.,A2,language learning,4.0,7.0
11251673,It's not my idea.,A2,negation,4.0,9.0
3739786,Please do whatever seems best to you.,A2,"free time,hobbies",3.0,7.0
2013869,Do you want this or don't you?,A2,"negation,requests",3.0,6.0
65040,What do you recommend?,A2,requests,3.0,8.0
5360480,The sky darkened.,A2,weather,3.0,7.0
8336211,It's not a new technique.,A2,negation,3.0,7.0
2243698,They're useless now.,A2,negation,3.0,7.0
6660789,You don't look much like your father.,A2,negation,3.0,5.0
1635376,Where did you leave your shoes?,A2,"free time,hobbies",3.0,8.0
11807954,Is it possible to believe?,A2,emotions,3.0,6.0
309499,Her voice sounds very beautiful.,A2,music,3.0,8.0
4529449,The teacher's name is Mr. Jackson.,A2,school,2.0,7.0
73835,"Who is it? ""It's me.""",A2,language learning,2.0,7.0
9220395,Did you jump?,A2,"animals,emotions",2.0,5.0
3170522,Where's your black suit?,A2,negation,2.0,5.0
10637366,How were they formed?,A2,time,2.0,6.0
6352403,I know who agreed to do that.,A2,negation,2.0,6.0
8045295,I want to know who lost.,A2,negation,2.0,6.0
8336379,Who are your role models?,A2,people,1.0,7.0
1190264,Steak and caviar are my favorite foods.,B1,food,9.0,8.0
9709473,How many sentences have you added?,B1,language learning,8.0,4.0
1660633,"Look, my house is cleaner than yours.",B1,negation,8.0,5.0
9464919,We're going for a wander round town.,B1,"travel,free time",8.0,7.0
10387366,Marcus wants to be a translator.,B1,"work,goals,language learning",8.0,7.0
69715,It is necessary that you take a good rest.,B1,"emotions,requests,free time",8.0,8.0
5262984,The capybara is the world's largest rodent.,B1,animals,8.0,5.0
7796700,The drainage systems are not able to handle the water pressure.,B1,"weather,work",8.0,5.0
880015,How wonderful that we have met with a paradox. Now we have some hope of making progress.,B1,emotions,8.0,4.0
13147810,A life of moderation is a life without danger.,B1,emotions,8.0,6.0
12221016,Have you seen this movie? It's one of my favorites.,B1,"movies,emotions",8.0,8.0
12768017,I sometimes go hiking in the mountains.,B1,"hobbies,free time,travel",8.0,7.0
10314648,"I can't play chess, but I'd like to learn how.",B1,"language learning,free time,sports,negation",8.0,8.0
397956,The teacher and her partner took the people attending the wedding to a park.,B1,"school,work,free time",8.0,7.0
10064020,My train is delayed.,B1,"time,travel",8.0,8.0
299547,He is in fourth grade of elementary school.,B1,school,8.0,6.0
3719537,Everywhere were fruits and sweet and delightful flowers.,B1,"food,plants",8.0,7.0
7008420,I did a week's worth of work in an afternoon.,B1,"work,time",8.0,6.0
325257,Many trees were blown down by the storm.,B1,"plants,weather",8.0,7.0
330545,What we've already achieved gives us hope for what we can and must achieve tomorrow.,B1,"future plans,goals,emotions",8.0,9.0
262361,"I can ride a horse, too.",B1,"animals,hobbies",8.0,8.0
12595127,What a marvelous sentence!,B1,emotions,8.0,7.0
3892729,Will you stop answering my questions with a question?,B1,"requests,negation",8.0,7.0
3822679,"Anytime you need a favor, call me.",B1,"requests,emotions,future plans",8.0,7.0
5858786,I like spaghetti.,B1,food,8.0,9.0
10117459,It's time to stock up on provisions.,B1,"time,food",8.0,6.0
21496,The street to school was flooded so we had to go around.,B1,"school,weather,travel",8.0,7.0
5751918,I'm glad I watched it.,B1,"movies,emotions",8.0,7.0
6256772,I'd be glad to teach you French.,B1,"language learning,requests",8.0,7.0
11744025,I appreciate the mutual respect that Carlos and I have as colleagues.,B1,"work,emotions",8.0,8.0
11785998,Santiago competed in track competitions.,B1,sports,8.0,7.0
3390702,Please hand me my cane.,B1,requests,8.0,6.0
72735,I received your Model 345 in good condition.,B1,free time,7.0,5.0
5826151,I need permission from your parents or guardian.,B1,requests,7.0,7.0
10170378,His dogs are barking.,B1,animals,7.0,7.0
11472777,I need to scour the city.,B1,travel,7.0,5.0
12937663,He put the groceries on the counter.,B1,food,7.0,8.0
12175989,He's never moving to the countryside again.,B1,"animals,plants,weather,future plans,negation",7.0,6.0
12317072,Thoughts disturb meditation.,B1,"emotions,free time",7.0,5.0
2360998,I hope you'll reconsider.,B1,"requests,emotions,future plans",7.0,8.0
278127,The eldest son succeeded to all the property.,B1,"work,money",7.0,7.0
12946816,He doesn't need the money anyways.,B1,"money,negation",7.0,6.0
2362295,Try to slice the meat with a different knife.,B1,food,7.0,6.0
12698387,"Wait, hold up a second! ""What's wrong?"" ""I got some sand in my shoes.""",B1,"emotions,free time",7.0,7.0
29347,Robert enjoyed talking with his girlfriend.,B1,emotions,7.0,8.0
