id;text;topics;difficulty;usefulness;flags;tokens;word_frequencies;zipf_frequencies;word_ranks;zipf_avg;max_word_rank;avg_word_rank;word_count;overall_difficulty
2161475;Stay there and don't move!;"[""commands"", ""actions""]";1.0;7.5;"[""violent""]";"[""stay"", ""there"", ""and"", ""don't"", ""move""]";[0.000214, 0.00204, 0.0257, 0.00158, 0.000224];[5.33, 6.31, 7.41, 6.2, 5.35];[473, 57, 3, 68, 447];6.12;473;209.6;5;8.870000000000001
6666558;I don't like my new job.;"[""work"", ""emotions""]";1.5;8.0;"[""overly negative""]";"[""i"", ""don't"", ""like"", ""my"", ""new"", ""job""]";[0.0123, 0.00158, 0.00257, 0.00372, 0.00178, 0.000316];[7.09, 6.2, 6.41, 6.57, 6.25, 5.5];[7, 68, 42, 27, 65, 296];6.336666666666666;296;84.16666666666667;6;8.836666666666666
9331404;I can't pronounce that name.;"[""pronunciation"", ""language learning""]";1.0;8.0;"[""hard to pronounce""]";"[""i"", ""can't"", ""pronounce"", ""that"", ""name""]";[0.0123, 0.000631, 4.57e-06, 0.0102, 0.000407];[7.09, 5.8, 3.66, 7.01, 5.61];[7, 154, 10000, 10, 220];5.8340000000000005;10000;2078.2;5;8.834
8542139;I would like to visit your country.;"[""travel"", ""greetings""]";1.5;8.0;"[""political""]";"[""i"", ""would"", ""like"", ""to"", ""visit"", ""your"", ""country""]";[0.0123, 0.00186, 0.00257, 0.0269, 0.00011, 0.00339, 0.000302];[7.09, 6.27, 6.41, 7.43, 5.04, 6.53, 5.48];[7, 63, 42, 2, 980, 31, 313];6.321428571428571;980;205.42857142857142;7;8.821428571428571
1566861;You better not do that!;"[""warnings"", ""actions""]";1.0;6.5;"[""offensive"", ""overly negative""]";"[""you"", ""better"", ""not"", ""do"", ""that""]";[0.00955, 0.000575, 0.0049, 0.00224, 0.0102];[6.98, 5.76, 6.69, 6.35, 7.01];[11, 168, 23, 50, 10];6.558;168;52.4;5;8.808
26143;Have you ever been to Britain?;"[""travel"", ""places""]";1.5;8.0;"[""political""]";"[""have"", ""you"", ""ever"", ""been"", ""to"", ""britain""]";[0.00513, 0.00955, 0.000457, 0.00186, 0.0269, 5.25e-05];[6.71, 6.98, 5.66, 6.27, 7.43, 4.72];[20, 11, 204, 62, 2, 1929];6.294999999999999;1929;371.3333333333333;6;8.794999999999998
8407499;French is very useful.;"[""language"", ""value""]";1.0;8.0;"[""political""]";"[""french"", ""is"", ""very"", ""useful""]";[0.000123, 0.0117, 0.001, 5.25e-05];[5.09, 7.07, 6.0, 4.72];[850, 8, 106, 1973];5.72;1973;734.25;4;8.719999999999999
3913693;Leave her out of this.;"[""social interaction"", ""exclusion""]";1.0;6.5;"[""offensive""]";"[""leave"", ""her"", ""out"", ""of"", ""this""]";[0.000219, 0.002, 0.0024, 0.0251, 0.00661];[5.34, 6.3, 6.38, 7.4, 6.82];[457, 58, 45, 4, 15];6.448;457;115.8;5;8.698
8914612;I hate the heat.;"[""emotions"", ""weather""]";1.0;7.0;"[""overly negative""]";"[""i"", ""hate"", ""the"", ""heat""]";[0.0123, 0.000129, 0.0537, 7.24e-05];[7.09, 5.11, 7.73, 4.86];[7, 807, 1, 1456];6.1975;1456;567.75;4;8.6975
7181033;I usually go to Australia about three times a year.;"[""travel"", ""frequency""]";1.5;8.0;"[""political""]";"[""i"", ""usually"", ""go"", ""to"", ""australia"", ""about"", ""three"", ""times"", ""a"", ""year""]";[0.0123, 0.000141, 0.00107, 0.0269, 0.000115, 0.00251, 0.000603, 0.000363, 0.0229, 0.000912];[7.09, 5.15, 6.03, 7.43, 5.06, 6.4, 5.78, 5.56, 7.36, 5.96];[7, 744, 98, 2, 922, 43, 164, 250, 5, 117];6.182;922;235.2;10;8.682
855042;Can you pronounce these words?;"[""language"", ""pronunciation""]";1.0;8.0;"[""hard to pronounce""]";"[""can"", ""you"", ""pronounce"", ""these"", ""words""]";[0.00288, 0.00955, 4.57e-06, 0.0011, 0.000178];[6.46, 6.98, 3.66, 6.04, 5.25];[39, 11, 10000, 94, 566];5.678;10000;2142.0;5;8.678
6996314;Said who?;"[""doubt"", ""questioning"", ""authority""]";1.0;7.0;"[""offensive""]";"[""said"", ""who""]";[0.00102, 0.00219];[6.01, 6.34];[100, 53];6.175;100;76.5;2;8.675
12288948;What is the capital of France?;"[""geography"", ""knowledge""]";1.5;7.5;"[""political""]";"[""what"", ""is"", ""the"", ""capital"", ""of"", ""france""]";[0.0024, 0.0117, 0.0537, 0.000102, 0.0251, 8.71e-05];[6.38, 7.07, 7.73, 5.01, 7.4, 4.94];[46, 8, 1, 1044, 4, 1222];6.421666666666666;1222;387.5;6;8.671666666666667
5578573;I was born in Brazil.;"[""personal information"", ""origin""]";1.0;7.0;"[""political""]";"[""i"", ""was"", ""born"", ""in"", ""brazil""]";[0.0123, 0.00661, 0.000123, 0.0186, 3.8e-05];[7.09, 6.82, 5.09, 7.27, 4.58];[7, 16, 843, 6, 2570];6.17;2570;688.4;5;8.67
1450099;This day is so boring!;"[""emotions"", ""boredom""]";1.0;7.0;"[""overly negative""]";"[""this"", ""day"", ""is"", ""so"", ""boring""]";[0.00661, 0.000891, 0.0117, 0.00331, 2.69e-05];[6.82, 5.95, 7.07, 6.52, 4.43];[15, 120, 8, 33, 3411];6.1579999999999995;3411;717.4;5;8.658
1359371;Don't say that to your mother!;"[""family"", ""communication"", ""warnings""]";1.5;7.5;"[""offensive""]";"[""don't"", ""say"", ""that"", ""to"", ""your"", ""mother""]";[0.00158, 0.000776, 0.0102, 0.0269, 0.00339, 0.000174];[6.2, 5.89, 7.01, 7.43, 6.53, 5.24];[68, 135, 10, 2, 31, 576];6.383333333333334;576;137.0;6;8.633333333333333
2991239;I was very scared.;"[""emotions"", ""fear""]";1.0;7.0;"[""triggering""]";"[""i"", ""was"", ""very"", ""scared""]";[0.0123, 0.00661, 0.001, 3.98e-05];[7.09, 6.82, 6.0, 4.6];[7, 16, 106, 2500];6.1274999999999995;2500;657.25;4;8.6275
11789976;I'm going to France.;"[""travel"", ""plans""]";1.5;8.0;"[""political""]";"[""i'm"", ""going"", ""to"", ""france""]";[0.00141, 0.000871, 0.0269, 8.71e-05];[6.15, 5.94, 7.43, 4.94];[74, 122, 2, 1222];6.115;1222;355.0;4;8.615
6851140;Come back to bed.;"[""requests"", ""intimacy"", ""relationships""]";1.0;7.0;"[""inappropriate""]";"[""come"", ""back"", ""to"", ""bed""]";[0.000603, 0.0011, 0.0269, 0.000117];[5.78, 6.04, 7.43, 5.07];[161, 93, 2, 893];6.08;893;287.25;4;8.58
13057311;They don't want to help us.;"[""relationships"", ""help""]";1.5;7.5;"[""overly negative""]";"[""they"", ""don't"", ""want"", ""to"", ""help"", ""us""]";[0.00316, 0.00158, 0.0011, 0.0269, 0.000562, 0.0011];[6.5, 6.2, 6.04, 7.43, 5.75, 6.04];[35, 68, 96, 2, 171, 95];6.326666666666667;171;77.83333333333333;6;8.576666666666668
6351854;"How did that go? ""Not well.""";"[""events"", ""outcomes"", ""communication""]";1.5;7.5;"[""overly negative""]";"[""how"", ""did"", ""that"", ""go"", ""not"", ""well""]";[0.00174, 0.000912, 0.0102, 0.00107, 0.0049, 0.00107];[6.24, 5.96, 7.01, 6.03, 6.69, 6.03];[67, 114, 10, 98, 23, 99];6.326666666666667;114;68.5;6;8.576666666666668
2561999;This city is in the USA.;"[""geography"", ""locations""]";1.0;6.0;"[""political""]";"[""this"", ""city"", ""is"", ""in"", ""the"", ""usa""]";[0.00661, 0.000407, 0.0117, 0.0186, 0.0537, 6.17e-05];[6.82, 5.61, 7.07, 7.27, 7.73, 4.79];[15, 217, 8, 6, 1, 1708];6.548333333333333;1708;325.8333333333333;6;8.548333333333332
5087334;I come from Italy and I speak Italian.;"[""identity"", ""language"", ""origin""]";1.5;8.0;"[""political""]";"[""i"", ""come"", ""from"", ""italy"", ""and"", ""i"", ""speak"", ""italian""]";[0.0123, 0.000603, 0.00427, 4.57e-05, 0.0257, 0.0123, 0.000107, 4.57e-05];[7.09, 5.78, 6.63, 4.66, 7.41, 7.09, 5.03, 4.66];[7, 161, 26, 2212, 3, 7, 1004, 2211];6.043749999999999;2212;703.875;8;8.54375
9431407;I'm not going to listen to you.;"[""refusal"", ""communication""]";1.0;6.0;"[""overly negative""]";"[""i'm"", ""not"", ""going"", ""to"", ""listen"", ""to"", ""you""]";[0.00141, 0.0049, 0.000871, 0.0269, 0.000115, 0.0269, 0.00955];[6.15, 6.69, 5.94, 7.43, 5.06, 7.43, 6.98];[74, 23, 122, 2, 929, 2, 11];6.525714285714287;929;166.14285714285714;7;8.525714285714287
10315167;When will you go to Berlin?;"[""travel"", ""questions"", ""locations""]";1.5;7.5;"[""political""]";"[""when"", ""will"", ""you"", ""go"", ""to"", ""berlin""]";[0.00234, 0.00282, 0.00955, 0.00107, 0.0269, 2.4e-05];[6.37, 6.45, 6.98, 6.03, 7.43, 4.38];[48, 40, 11, 98, 2, 3741];6.273333333333334;3741;656.6666666666666;6;8.523333333333333
7163862;I need to get out of Australia.;"[""travel"", ""actions"", ""locations""]";1.5;7.0;"[""political""]";"[""i"", ""need"", ""to"", ""get"", ""out"", ""of"", ""australia""]";[0.0123, 0.000933, 0.0269, 0.00191, 0.0024, 0.0251, 0.000115];[7.09, 5.97, 7.43, 6.28, 6.38, 7.4, 5.06];[7, 112, 2, 61, 45, 4, 922];6.515714285714286;922;164.71428571428572;7;8.515714285714285
7180583;I met a woman from Australia this afternoon.;"[""people"", ""nationality"", ""travel""]";1.5;8.0;"[""political""]";"[""i"", ""met"", ""a"", ""woman"", ""from"", ""australia"", ""this"", ""afternoon""]";[0.0123, 0.000123, 0.0229, 0.000224, 0.00427, 0.000115, 0.00661, 5.25e-05];[7.09, 5.09, 7.36, 5.35, 6.63, 5.06, 6.82, 4.72];[7, 853, 5, 452, 26, 922, 15, 1927];6.015;1927;525.875;8;8.515
8595504;I can't stand that.;"[""emotions"", ""dislikes""]";1.0;6.5;"[""offensive""]";"[""i"", ""can't"", ""stand"", ""that""]";[0.0123, 0.000631, 0.000138, 0.0102];[7.09, 5.8, 5.14, 7.01];[7, 154, 756, 10];6.26;756;231.75;4;8.51
3439490;Come on, move it.;"[""commands"", ""urgency""]";1.0;6.5;"[""offensive""]";"[""come"", ""on"", ""move"", ""it""]";[0.000603, 0.00813, 0.000224, 0.00891];[5.78, 6.91, 5.35, 6.95];[161, 13, 447, 12];6.2475;447;158.25;4;8.497499999999999
13339096;The Nile is not in Europe.;"[""geography"", ""facts""]";1.0;6.5;"[""political""]";"[""the"", ""nile"", ""is"", ""not"", ""in"", ""europe""]";[0.0537, 4.37e-06, 0.0117, 0.0049, 0.0186, 0.00011];[7.73, 3.64, 7.07, 6.69, 7.27, 5.04];[1, 10000, 8, 23, 6, 968];6.240000000000001;10000;1834.3333333333333;6;8.490000000000002
340475;I am French.;"[""identity"", ""nationality""]";1.0;7.0;"[""political""]";"[""i"", ""am"", ""french""]";[0.0123, 0.000603, 0.000123];[7.09, 5.78, 5.09];[7, 160, 850];5.986666666666667;850;339.0;3;8.486666666666668
2648080;Keep it down, guys.;"[""requests"", ""social""]";1.0;7.0;"[""offensive""]";"[""keep"", ""it"", ""down"", ""guys""]";[0.000457, 0.00891, 0.000759, 0.000257];[5.66, 6.95, 5.88, 5.41];[206, 12, 137, 373];5.975;373;182.0;4;8.475
7183157;I had a lot of fun while I was in Australia.;"[""travel"", ""emotions""]";2.0;8.0;"[""political""]";"[""i"", ""had"", ""a"", ""lot"", ""of"", ""fun"", ""while"", ""i"", ""was"", ""in"", ""australia""]";[0.0123, 0.00214, 0.0229, 0.000407, 0.0251, 0.0002, 0.000724, 0.0123, 0.00661, 0.0186, 0.000115];[7.09, 6.33, 7.36, 5.61, 7.4, 5.3, 5.86, 7.09, 6.82, 7.27, 5.06];[7, 54, 5, 219, 4, 502, 144, 7, 16, 6, 922];6.471818181818182;922;171.45454545454547;11;8.471818181818183
11939887;I am leaving you.;"[""relationships"", ""emotions""]";1.5;7.5;"[""triggering"", ""overly negative""]";"[""i"", ""am"", ""leaving"", ""you""]";[0.0123, 0.000603, 9.55e-05, 0.00955];[7.09, 5.78, 4.98, 6.98];[7, 160, 1123, 11];6.2075000000000005;1123;325.25;4;8.4575
10181275;"Did you understand any of that? ""Not a word.""";"[""communication"", ""understanding"", ""dialogue""]";2.0;8.0;"[""offensive""]";"[""did"", ""you"", ""understand"", ""any"", ""of"", ""that"", ""not"", ""a"", ""word""]";[0.000912, 0.00955, 0.000234, 0.00117, 0.0251, 0.0102, 0.0049, 0.0229, 0.000182];[5.96, 6.98, 5.37, 6.07, 7.4, 7.01, 6.69, 7.36, 5.26];[114, 11, 427, 90, 4, 10, 23, 5, 555];6.455555555555555;555;137.66666666666666;9;8.455555555555556
3356384;You know we can't do it.;"[""limitations"", ""ability"", ""negativity""]";1.5;7.0;"[""overly negative""]";"[""you"", ""know"", ""we"", ""can't"", ""do"", ""it""]";[0.00955, 0.00126, 0.00347, 0.000631, 0.00224, 0.00891];[6.98, 6.1, 6.54, 5.8, 6.35, 6.95];[11, 84, 29, 154, 50, 12];6.453333333333334;154;56.666666666666664;6;8.453333333333333
9506088;Don't you want to go to Australia with us?;"[""travel"", ""invitations"", ""questions"", ""Australia""]";1.5;7.0;"[""political""]";"[""don't"", ""you"", ""want"", ""to"", ""go"", ""to"", ""australia"", ""with"", ""us""]";[0.00158, 0.00955, 0.0011, 0.0269, 0.00107, 0.0269, 0.000115, 0.00708, 0.0011];[6.2, 6.98, 6.04, 7.43, 6.03, 7.43, 5.06, 6.85, 6.04];[68, 11, 96, 2, 98, 2, 922, 14, 95];6.4511111111111115;922;145.33333333333334;9;8.45111111111111
12524081;I forgot the period at the end of the sentence.;"[""writing"", ""grammar""]";1.0;6.0;"[""weird""]";"[""i"", ""forgot"", ""the"", ""period"", ""at"", ""the"", ""end"", ""of"", ""the"", ""sentence""]";[0.0123, 4.27e-05, 0.0537, 0.000162, 0.00501, 0.0537, 0.000479, 0.0251, 0.0537, 3.8e-05];[7.09, 4.63, 7.73, 5.21, 6.7, 7.73, 5.68, 7.4, 7.73, 4.58];[7, 2347, 1, 623, 21, 1, 196, 4, 1, 2599];6.448;2599;580.0;10;8.448
25515;There's nothing I can do.;"[""helplessness"", ""actions""]";1.0;6.5;"[""overly negative""]";"[""there's"", ""nothing"", ""i"", ""can"", ""do""]";[0.000347, 0.000355, 0.0123, 0.00288, 0.00224];[5.54, 5.55, 7.09, 6.46, 6.35];[267, 256, 7, 39, 50];6.198;267;123.8;5;8.448
6263936;We want you to go to Boston.;"[""requests"", ""destinations"", ""travel""]";1.5;7.0;"[""political""]";"[""we"", ""want"", ""you"", ""to"", ""go"", ""to"", ""boston""]";[0.00347, 0.0011, 0.00955, 0.0269, 0.00107, 0.0269, 4.68e-05];[6.54, 6.04, 6.98, 7.43, 6.03, 7.43, 4.67];[29, 96, 11, 2, 98, 2, 2147];6.445714285714287;2147;340.7142857142857;7;8.445714285714287
1553481;I don't have time for this.;"[""frustration"", ""time management""]";1.5;6.5;"[""overly negative""]";"[""i"", ""don't"", ""have"", ""time"", ""for"", ""this""]";[0.0123, 0.00158, 0.00513, 0.00195, 0.0102, 0.00661];[7.09, 6.2, 6.71, 6.29, 7.01, 6.82];[7, 68, 20, 60, 9, 15];6.6866666666666665;68;29.833333333333332;6;8.436666666666667
2652928;I'd like to live in China.;"[""aspirations"", ""travel"", ""locations""]";1.5;7.5;"[""political""]";"[""i'd"", ""like"", ""to"", ""live"", ""in"", ""china""]";[0.000229, 0.00257, 0.0269, 0.000347, 0.0186, 0.000126];[5.36, 6.41, 7.43, 5.54, 7.27, 5.1];[433, 42, 2, 263, 6, 824];6.185;824;261.6666666666667;6;8.434999999999999
10055324;It hurts. Stop it.;"[""pain"", ""feelings""]";1.0;7.0;"[""violent"", ""overly negative""]";"[""it"", ""hurts"", ""stop"", ""it""]";[0.00891, 2e-05, 0.000331, 0.00891];[6.95, 4.3, 5.52, 6.95];[12, 4309, 283, 12];5.93;4309;1154.0;4;8.43
7149832;We're trying to get to Australia.;"[""travel"", ""destinations""]";1.5;7.5;"[""political""]";"[""we're"", ""trying"", ""to"", ""get"", ""to"", ""australia""]";[0.000251, 0.000295, 0.0269, 0.00191, 0.0269, 0.000115];[5.4, 5.47, 7.43, 6.28, 7.43, 5.06];[394, 322, 2, 61, 2, 922];6.178333333333335;922;283.8333333333333;6;8.428333333333335
953836;I'm not going to see you again.;"[""farewells"", ""relationships""]";1.0;6.0;"[""overly negative""]";"[""i'm"", ""not"", ""going"", ""to"", ""see"", ""you"", ""again""]";[0.00141, 0.0049, 0.000871, 0.0269, 0.00126, 0.00955, 0.000501];[6.15, 6.69, 5.94, 7.43, 6.1, 6.98, 5.7];[74, 23, 122, 2, 85, 11, 189];6.427142857142859;189;72.28571428571429;7;8.427142857142858
8833690;I don't like to travel.;"[""travel"", ""preferences""]";1.5;7.0;"[""overly negative""]";"[""i"", ""don't"", ""like"", ""to"", ""travel""]";[0.0123, 0.00158, 0.00257, 0.0269, 0.0001];[7.09, 6.2, 6.41, 7.43, 5.0];[7, 68, 42, 2, 1100];6.425999999999999;1100;243.8;5;8.425999999999998
6270347;I'm not happy with that.;"[""emotions"", ""disagreement""]";1.5;7.0;"[""overly negative""]";"[""i'm"", ""not"", ""happy"", ""with"", ""that""]";[0.00141, 0.0049, 0.000224, 0.00708, 0.0102];[6.15, 6.69, 5.35, 6.85, 7.01];[74, 23, 443, 14, 10];6.409999999999999;443;112.8;5;8.41
8405341;Come with us to Boston.;"[""travel"", ""invitations"", ""geography""]";1.5;7.5;"[""political""]";"[""come"", ""with"", ""us"", ""to"", ""boston""]";[0.000603, 0.00708, 0.0011, 0.0269, 4.68e-05];[5.78, 6.85, 6.04, 7.43, 4.67];[161, 14, 95, 2, 2147];6.153999999999999;2147;483.8;5;8.404
6996298;I come from Portugal.;"[""identity"", ""origin"", ""geography""]";1.0;7.0;"[""political""]";"[""i"", ""come"", ""from"", ""portugal""]";[0.0123, 0.000603, 0.00427, 1.26e-05];[7.09, 5.78, 6.63, 4.1];[7, 161, 26, 6083];5.9;6083;1569.25;4;8.4
2732552;Please listen and type in Spanish.;"[""instructions"", ""languages"", ""communication""]";1.5;8.0;"[""audio-incompatible""]";"[""please"", ""listen"", ""and"", ""type"", ""in"", ""spanish""]";[0.000457, 0.000115, 0.0257, 0.000186, 0.0186, 5.37e-05];[5.66, 5.06, 7.41, 5.27, 7.27, 4.73];[208, 929, 3, 546, 6, 1920];5.8999999999999995;1920;602.0;6;8.399999999999999
6620251;Stop this at once.;"[""commands"", ""actions""]";1.0;6.5;"[""offensive""]";"[""stop"", ""this"", ""at"", ""once""]";[0.000331, 0.00661, 0.00501, 0.000339];[5.52, 6.82, 6.7, 5.53];[283, 15, 21, 275];6.1425;283;148.5;4;8.3925
7968802;I'm so fed up.;"[""emotions"", ""frustration""]";1.0;7.0;"[""overly negative""]";"[""i'm"", ""so"", ""fed"", ""up""]";[0.00141, 0.00331, 3.24e-05, 0.00245];[6.15, 6.52, 4.51, 6.39];[74, 33, 2946, 44];5.8925;2946;774.25;4;8.3925
8388908;What would you like to do while you're in Australia?;"[""travel"", ""planning"", ""Australia""]";2.0;8.0;"[""political""]";"[""what"", ""would"", ""you"", ""like"", ""to"", ""do"", ""while"", ""you're"", ""in"", ""australia""]";[0.0024, 0.00186, 0.00955, 0.00257, 0.0269, 0.00224, 0.000724, 0.000741, 0.0186, 0.000115];[6.38, 6.27, 6.98, 6.41, 7.43, 6.35, 5.86, 5.87, 7.27, 5.06];[46, 63, 11, 42, 2, 50, 144, 140, 6, 922];6.388;922;142.6;10;8.388
253010;I have visited America.;"[""travel"", ""geography""]";1.0;7.0;"[""political""]";"[""i"", ""have"", ""visited"", ""america""]";[0.0123, 0.00513, 3.16e-05, 0.000166];[7.09, 6.71, 4.5, 5.22];[7, 20, 3033, 603];5.88;3033;915.75;4;8.379999999999999
551442;No prob.;"[""greetings"", ""informal language""]";0.5;8.0;"[""offensive""]";"[""no"", ""prob""]";[0.00224, 2.57e-06];[6.35, 3.41];[51, 10000];4.88;10000;5025.5;2;8.379999999999999
13247761;Alabama is in the Deep South.;"[""geography"", ""facts""]";1.0;6.5;"[""political""]";"[""alabama"", ""is"", ""in"", ""the"", ""deep"", ""south""]";[1.82e-05, 0.0117, 0.0186, 0.0537, 0.000112, 0.000251];[4.26, 7.07, 7.27, 7.73, 5.05, 5.4];[4571, 8, 6, 1, 945, 392];6.13;4571;987.1666666666666;6;8.379999999999999
7194805;I plan to stay in Australia for a week.;"[""travel"", ""planning"", ""duration""]";2.0;8.0;"[""political""]";"[""i"", ""plan"", ""to"", ""stay"", ""in"", ""australia"", ""for"", ""a"", ""week""]";[0.0123, 0.000195, 0.0269, 0.000214, 0.0186, 0.000115, 0.0102, 0.0229, 0.000363];[7.09, 5.29, 7.43, 5.33, 7.27, 5.06, 7.01, 7.36, 5.56];[7, 516, 2, 473, 6, 922, 9, 5, 251];6.377777777777777;922;243.44444444444446;9;8.377777777777776
12372304;That isn't right!;"[""disagreement"", ""negativity"", ""exclamations""]";1.0;6.5;"[""offensive"", ""overly negative""]";"[""that"", ""isn't"", ""right""]";[0.0102, 0.000257, 0.000912];[7.01, 5.41, 5.96];[10, 376, 115];6.126666666666666;376;167.0;3;8.376666666666665
5817684;It's so bad.;"[""emotions"", ""negativity""]";1.0;6.5;"[""overly negative""]";"[""it's"", ""so"", ""bad""]";[0.00214, 0.00331, 0.000339];[6.33, 6.52, 5.53];[55, 33, 270];6.126666666666666;270;119.33333333333333;3;8.376666666666665
2813007;I told her to stop.;"[""commands"", ""actions"", ""boundaries""]";1.5;7.0;"[""offensive""]";"[""i"", ""told"", ""her"", ""to"", ""stop""]";[0.0123, 0.000347, 0.002, 0.0269, 0.000331];[7.09, 5.54, 6.3, 7.43, 5.52];[7, 268, 58, 2, 283];6.3759999999999994;283;123.6;5;8.376
3752937;The smell was horrible.;"[""sensory experience"", ""emotions""]";1.0;7.0;"[""overly negative""]";"[""the"", ""smell"", ""was"", ""horrible""]";[0.0537, 3.09e-05, 0.00661, 2.75e-05];[7.73, 4.49, 6.82, 4.44];[1, 3086, 16, 3368];5.87;3368;1617.75;4;8.370000000000001
2333881;What are you saying?!;"[""surprise"", ""emotions"", ""communication""]";1.5;7.0;"[""offensive""]";"[""what"", ""are"", ""you"", ""saying""]";[0.0024, 0.0055, 0.00955, 0.000234];[6.38, 6.74, 6.98, 5.37];[46, 19, 11, 426];6.367500000000001;426;125.5;4;8.3675
2042110;I live in Osaka.;"[""locations"", ""residence""]";1.0;7.0;"[""political""]";"[""i"", ""live"", ""in"", ""osaka""]";[0.0123, 0.000347, 0.0186, 3.63e-06];[7.09, 5.54, 7.27, 3.56];[7, 263, 6, 10000];5.864999999999999;10000;2569.0;4;8.364999999999998
12884363;She is rude.;"[""description"", ""people"", ""behavior""]";1.0;7.0;"[""offensive""]";"[""she"", ""is"", ""rude""]";[0.00182, 0.0117, 1.78e-05];[6.26, 7.07, 4.25];[64, 8, 4709];5.859999999999999;4709;1593.6666666666667;3;8.36
3348084;You're going to break it if you're not careful.;"[""warnings"", ""caution""]";1.5;7.5;"[""violent""]";"[""you're"", ""going"", ""to"", ""break"", ""it"", ""if"", ""you're"", ""not"", ""careful""]";[0.000741, 0.000871, 0.0269, 0.000151, 0.00891, 0.00295, 0.000741, 0.0049, 3.89e-05];[5.87, 5.94, 7.43, 5.18, 6.95, 6.47, 5.87, 6.69, 4.59];[140, 122, 2, 670, 12, 37, 140, 23, 2519];6.109999999999999;2519;407.22222222222223;9;8.36
10694056;This program is not useful to me.;"[""utility"", ""opinions""]";1.5;7.0;"[""overly negative""]";"[""this"", ""program"", ""is"", ""not"", ""useful"", ""to"", ""me""]";[0.00661, 0.000186, 0.0117, 0.0049, 5.25e-05, 0.0269, 0.00302];[6.82, 5.27, 7.07, 6.69, 4.72, 7.43, 6.48];[15, 545, 8, 23, 1973, 2, 36];6.354285714285715;1973;371.7142857142857;7;8.354285714285716
40022;Just look in the mirror.;"[""instructions"", ""self-reflection""]";1.0;6.0;"[""offensive""]";"[""just"", ""look"", ""in"", ""the"", ""mirror""]";[0.00269, 0.000646, 0.0186, 0.0537, 2.95e-05];[6.43, 5.81, 7.27, 7.73, 4.47];[41, 151, 6, 1, 3184];6.342;3184;676.6;5;8.341999999999999
