id,text,difficulty,max_rank,rank,topics
2977421,I know these people.,A1,94,114,basic verbs & actions
2912587,How much do you know?,A1,105,115,basic verbs & actions
2881844,Do you know all these people?,A1,94,116,personal pronouns
12954075,He had no way out.,A1,101,117,negation
1151432,See you.,A1,85,118,"greetings & introductions,basic verbs & actions"
8736207,They know where you are.,A1,107,119,personal pronouns
12198890,If I may.,A1,110,120,polite requests & manners
6767379,How much is all this?,A1,105,121,numbers & counting
2953684,We know who you really are.,A1,113,122,personal pronouns
54174,Here we are!,A1,111,123,personal pronouns
3424398,What should they do?,A1,109,124,
464224,This way.,A1,101,125,directions & locations
11417481,She is well.,A1,99,126,personal pronouns
3910254,You may see her there.,A1,110,127,personal pronouns
1886778,What did you see?,A1,114,128,basic verbs & actions
10727115,I know all of these people.,A1,94,129,personal pronouns
3737770,What do you really see?,A1,113,130,personal pronouns
12247089,Are you here to see us?,A1,111,131,personal pronouns
11112099,Where do I know him from?,A1,107,132,directions & locations
12447383,You have right of way.,A1,115,133,personal pronouns
8479377,He may not know.,A1,110,134,basic verbs & actions
10040618,Is she really there?,A1,113,135,personal pronouns
2794684,Where do you know him from?,A1,107,136,directions & locations
3920992,What should we do about her?,A1,109,137,personal pronouns
2437749,And what should we do?,A1,109,138,personal pronouns
2331888,I had to work.,A1,116,139,basic verbs & actions
3096072,What do you see here?,A1,111,140,personal pronouns
2247509,I was right.,A1,115,141,personal pronouns
2645131,You know you were right.,A1,115,142,
3819166,"You were there, too.",A1,121,143,
7362938,Do you see the day?,A1,120,144,
12974047,She has work to do.,A1,116,145,
66820,"No, not too much.",A1,121,146,
7405838,She did all she could.,A1,114,147,
5380443,They all did well.,A1,114,148,
7743612,How many are here?,A1,131,149,
3766216,How many people do you see?,A1,131,150,
1744807,I have to work.,A1,116,151,basic verbs & actions
7476858,They got their way.,A1,130,152,
9647185,Why are they there?,A1,125,153,
6353493,Which do you think is best?,A1,145,154,
395934,Great!,A1,138,155,emotions
2648600,Why do you think?,A1,125,156,
10475727,You think too much about her.,A1,121,157,likes & dislikes
12580254,Many of them were there.,A1,131,158,
5009606,We may never know why.,A1,132,159,
505876,Really? Why?,A1,125,160,
10564979,She got there before us.,A1,130,161,
12750633,I know you love her.,A1,147,162,likes & dislikes
11421874,He got out.,A1,130,163,basic verbs & actions
5758288,They were great.,A1,138,164,
8179724,This is just his first day.,A1,120,165,"days, months & seasons"
2252702,These are great.,A1,138,166,
1389720,You never know.,A1,132,167,
3912690,We all love him.,A1,147,168,likes & dislikes
7314730,Is he a man?,A1,148,169,
3822885,Who was the man?,A1,148,170,
9657173,I do the same with them.,A1,155,171,basic verbs & actions
2380231,I love you all.,A1,147,172,likes & dislikes
12137549,This is my world.,A1,136,173,"possession (my, your, his)"
3715774,All the best.,A1,145,174,
1500018,To life!,A1,134,175,
6065070,Is this what you do every day?,A1,158,176,"days, months & seasons"
12258158,Why did they come here?,A1,161,177,
5738209,I was about to do the same.,A1,155,178,basic verbs & actions
1883072,She did the best she could.,A1,145,179,
8423225,Who is the man?,A1,148,180,
4889702,We had to do something.,A1,152,181,basic verbs & actions
2245539,Have a look.,A1,151,182,
10758510,You may have both of those.,A1,157,183,
3899993,I am not well.,A1,160,184,emotions
3393163,This is between us.,A1,166,185,
17349,Look about you.,A1,151,186,
289132,He is always with me.,A1,167,187,personal pronouns
10761940,Look what I have!,A1,151,188,
11800425,What if they find out?,A1,169,189,
3916146,Did you get them something?,A1,152,190,
3286942,There may be something there.,A1,152,191,
1472302,You know where to find me.,A1,169,192,directions & locations
5933611,Always the same.,A1,167,193,
4356248,I think both of them are right.,A1,157,194,
8747600,I know I am right.,A1,160,195,
3912688,We both love her.,A1,157,196,likes & dislikes
5435622,I just did what I always do.,A1,167,197,basic verbs & actions
436243,How old are you?,A1,174,198,numbers & counting
8018370,Do the same.,A1,155,199,basic verbs & actions
1429132,"You should come, too.",A1,161,200,polite requests & manners
8480705,He does his best.,A1,177,201,"possession (my, your, his),basic verbs & actions"
5836228,What does she think?,A1,177,202,
254364,I am new to the work.,A1,160,203,
11316802,How did they find me?,A1,169,204,
3360595,How old were you then?,A1,174,205,numbers & counting
10483872,We are what we give.,A1,185,206,
6064240,Do you know what this thing is?,A1,184,207,
10637281,Under where?,A1,180,208,
1495850,Who did you come with?,A1,161,209,directions & locations
457547,This is her house.,A1,186,210,"possession (my, your, his)"
292027,Where does he come from?,A1,177,211,directions & locations
2331725,I had some things to do.,A1,179,212,
3151553,Give me a day.,A1,185,213,"days, months & seasons"
3524779,We are not old.,A1,174,214,negation
370706,Where is your house?,A1,186,215,"directions & locations,possession (my, your, his)"
3724501,You know how these things work.,A1,179,216,
6402751,Could I see you again?,A1,189,217,polite requests & manners
12319633,Our team is the best.,A1,203,218,"possession (my, your, his)"
5758094,They were a team.,A1,203,219,
7474913,They did the only thing they could.,A1,184,220,
69868,How do you come to school?,A1,188,221,directions & locations
9756593,Are you game?,A1,182,222,
8119693,Come to school.,A1,188,223,basic verbs & actions
9112794,I know this game.,A1,182,224,
12448404,This is the best thing to do.,A1,184,225,"basic verbs & actions,future plans & goals"
2647571,Those are my things.,A1,179,226,"possession (my, your, his)"
3910234,I must see them.,A1,198,227,"personal pronouns,basic verbs & actions"
12549413,He must come here.,A1,198,228,"personal pronouns,basic verbs & actions,directions & locations"
9301999,We have to do this again.,A1,189,229,"personal pronouns,basic verbs & actions,language learning"
16122,You must do your best.,A1,198,230,"possession (my, your, his)"
8200337,How is your house?,A1,186,231,"possession (my, your, his)"
1137364,See you at school.,A1,188,232,"basic verbs & actions,in the classroom"
1553504,Give them to me.,A1,185,233,"basic verbs & actions,personal pronouns"
2255011,You keep them.,A1,206,234,"personal pronouns,basic verbs & actions"
3765039,Here I am again.,A1,189,235,"personal pronouns,basic verbs & actions,directions & locations"
2790747,Here is my family.,A1,205,236,"family & relationships,possession (my, your, his)"
8475710,He got big.,A1,200,237,basic verbs & actions
3315033,How big is your school?,A1,200,238,"possession (my, your, his)"
2249983,Someone was here.,A1,213,239,"basic verbs & actions,directions & locations"
317667,Their number is great.,A1,216,240,numbers & counting
54499,Do you have a family?,A1,205,241,family & relationships
11634639,Do you have her work number?,A1,216,242,numbers & counting
5486415,My family is my life.,A1,205,243,family & relationships
7302731,Is someone here?,A1,213,244,"basic verbs & actions,directions & locations"
2953669,We have to get out of here right away.,A1,214,245,"basic verbs & actions,directions & locations"
2892529,What do you do with your money?,A1,210,246,"possession (my, your, his)"
13221787,Did you give him the money?,A1,210,247,"basic verbs & actions,personal pronouns,shopping & prices"
2548834,I was with someone.,A1,213,248,"personal pronouns,basic verbs & actions"
7855086,How many days were you there?,A1,218,249,"numbers & counting,days, months & seasons"
10550558,A number of people were there.,A1,216,250,numbers & counting
6046866,Play the game.,A1,222,251,basic verbs & actions
12808529,Which city are you from?,A1,217,252,directions & locations
2179506,I think about him a lot.,A1,219,253,personal pronouns
12574515,How much do you know about this city?,A1,217,254,directions & locations
69208,Do you have any money?,A1,210,255,"basic verbs & actions,shopping & prices"
10303161,Which of them is real?,A1,229,256,"personal pronouns,basic verbs & actions"
2892821,Where were you all night?,A1,221,257,directions & locations
2835767,Am I doing this right?,A1,225,258,"personal pronouns,basic verbs & actions"
9049483,You must get out right away.,A1,214,259,"basic verbs & actions,directions & locations"
2064646,Is something different?,A1,232,260,basic verbs & actions
3916746,Keep away from them.,A1,214,261,"basic verbs & actions,personal pronouns"
13375287,Let me see!,A1,228,262,"basic verbs & actions,personal pronouns"
2244909,Are these real?,A1,229,263,"personal pronouns,basic verbs & actions"
3148156,We know the city well.,A1,217,264,directions & locations
1300573,Play there.,A1,222,265,basic verbs & actions
2643826,What were they doing there?,A1,225,266,directions & locations
3356306,You know a lot about this.,A1,219,267,"personal pronouns,basic verbs & actions"
12824782,Should we play?,A1,222,268,basic verbs & actions
3920641,Do you think about her a lot?,A1,219,269,personal pronouns
12784718,How do you start your day?,A1,248,270,"basic verbs & actions,personal pronouns,telling time"
4017125,What are you all looking at?,A1,242,271,"basic verbs & actions,personal pronouns"
2252710,These are real.,A1,229,272,basic verbs & actions
10169692,What are we having?,A1,233,273,basic verbs & actions
2214118,Why is he looking at me?,A1,242,274,personal pronouns
871734,How was the night?,A1,221,275,"basic verbs & actions,telling time"
2891166,Each one is different.,A1,232,276,basic verbs & actions
395050,I know those women.,A1,245,277,directions & locations
5178303,Let us know where you are.,A1,228,278,"directions & locations,personal pronouns"
8398130,Who are these women?,A1,245,279,"basic verbs & actions,personal pronouns"
1844212,Let me find out.,A1,228,280,basic verbs & actions
2892253,This is something different.,A1,232,281,basic verbs & actions
9237886,We were doing well.,A1,225,282,"basic verbs & actions,personal pronouns"
12779896,Let me know when you start.,A1,248,283,basic verbs & actions
2077336,Is there anything new?,A1,254,284,"basic verbs & actions,future plans & goals"
11294973,She is a person.,A1,257,285,personal pronouns
12777455,They never let anything come between them.,A1,254,286,negation
2214122,Why are you looking at me?,A1,242,287,personal pronouns
3735193,There was nothing to do.,A1,256,288,negation
9034149,You have to look at everything.,A1,261,289,basic verbs & actions
10241855,I already have the money.,A1,253,290,"basic verbs & actions,personal pronouns"
5746928,Every case is different.,A1,255,291,"basic verbs & actions,shopping & prices"
2254962,You could start.,A1,248,292,basic verbs & actions
3921037,Do you know anything about her?,A1,254,293,personal pronouns
7850481,You should already know this.,A1,253,294,basic verbs & actions
6029463,We read.,A1,266,295,basic verbs & actions
21110,Business is business.,A1,246,296,"basic verbs & actions,personal pronouns"
2389710,I am already old.,A1,253,297,basic verbs & actions
8819519,What do they read?,A1,266,298,basic verbs & actions
13022629,May everything be great!,A1,261,299,"basic verbs & actions,future plans & goals"
9703767,We did everything we had to.,A1,261,300,"basic verbs & actions,personal pronouns"
2666324,There is nothing she must have.,A1,256,301,negation
3908180,Tell her everything I told you.,A1,277,302,"basic verbs & actions,personal pronouns"
4496444,Something has to change.,A1,259,303,basic verbs & actions
3908325,Why tell him anything?,A1,277,304,"basic verbs & actions,personal pronouns"
8886611,I have nothing to do with this.,A1,256,305,negation
3905709,I told her all about you.,A1,268,306,personal pronouns
242650,Today I have a lot of things to do.,A1,258,307,"days, months & seasons"
2291645,I already told you everything I know.,A1,268,308,"basic verbs & actions,personal pronouns"
4977848,I know you work hard.,A1,273,309,basic verbs & actions
4025269,What do you read?,A1,266,310,"basic verbs & actions,personal pronouns"
9074728,"If you change anything, let me know.",A1,259,311,"basic verbs & actions,asking for help"
5828904,I was full.,A1,262,312,emotions
3919414,Do you believe them?,A1,286,313,"personal pronouns,basic verbs & actions"
5491743,There was no change.,A1,259,314,negation
2439737,I told him to stop.,A1,283,315,"basic verbs & actions,personal pronouns"
6118454,Change is always hard.,A1,273,316,basic verbs & actions
55574,This one is full.,A1,262,317,emotions
2223765,Have you seen her before?,A1,281,318,"personal pronouns,basic verbs & actions"
7474914,They did everything I told them to.,A1,268,319,"personal pronouns,basic verbs & actions"
10275295,I had never seen her before.,A1,281,320,"personal pronouns,basic verbs & actions"
13099365,One should know when to stop.,A1,283,321,basic verbs & actions
28607,Not bad.,A1,270,322,negation
860081,I find this hard to believe.,A1,286,323,"emotions,basic verbs & actions"
8976140,Have you seen anything new?,A1,281,324,basic verbs & actions
12286629,Did you work really hard?,A1,273,325,basic verbs & actions
6116210,Tell me who she is.,A1,277,326,"basic verbs & actions,personal pronouns"
7257979,How about some music?,A1,279,327,likes & dislikes
12064519,Are you all having a party?,A1,308,328,"family & relationships,basic verbs & actions"
6054867,I come from a small family.,A1,291,329,family & relationships
6108193,She did not believe me.,A1,286,330,negation
11287932,I am small.,A1,291,331,"personal pronouns,colors & shapes"
2670811,I have to stop him.,A1,283,332,"basic verbs & actions,personal pronouns"
4015492,Do you know why I came here?,A1,294,333,"basic verbs & actions,personal pronouns"
12751437,You should come to our party.,A1,308,334,"basic verbs & actions,personal pronouns"
11014826,He is at my side.,A1,297,335,"possession (my, your, his)"
314193,She came to see me.,A1,294,336,"basic verbs & actions,personal pronouns"
8416822,Start small.,A1,291,337,basic verbs & actions
8099597,Do you know any of those men?,A1,289,338,"personal pronouns,basic verbs & actions"
12236004,"Go, Mark! Run!",A1,309,339,basic verbs & actions
11940632,Have you told everyone?,A1,319,340,"basic verbs & actions,personal pronouns"
6448187,Sami was having a party.,A1,308,341,"family & relationships,basic verbs & actions"
2645583,You know Tom was right.,A1,300,342,"basic verbs & actions,personal pronouns"
3312699,We look great together.,A1,331,343,"personal pronouns,basic verbs & actions"
5186788,"Yes, I think you should go there.",A1,301,344,"personal pronouns,basic verbs & actions"
9999394,See you all at the open house.,A1,314,345,"greetings & introductions,basic verbs & actions"
672252,You run.,A1,309,346,basic verbs & actions
11715919,She is always by my side.,A1,297,347,"possession (my, your, his)"
2942504,"When I came, he was out.",A1,294,348,"basic verbs & actions,personal pronouns"
11265146,Does he have children?,A1,318,349,family & relationships
9039611,We had to work together.,A1,331,350,"basic verbs & actions,personal pronouns"
7450583,Why did she run away?,A1,309,351,"basic verbs & actions,personal pronouns"
844686,Today I came to work by car.,A1,334,352,"basic verbs & actions,personal pronouns"
12371599,Who are you to tell me to go away?,A1,300,353,"basic verbs & actions,personal pronouns"
2547946,How are the children?,A1,318,354,"family & relationships,basic verbs & actions"
6586678,And thank you.,A1,317,355,polite requests & manners
8521534,He never got to thank her.,A1,317,356,"basic verbs & actions,personal pronouns"
11250757,They know everyone.,A1,319,357,"basic verbs & actions,personal pronouns"
290307,He has already said yes.,A1,301,358,basic verbs & actions
4630298,Tom came right away.,A1,300,359,"basic verbs & actions,personal pronouns"
463196,They have black hair.,A1,326,360,colors & shapes
35504,"Yes, I know.",A1,301,361,"basic verbs & actions,personal pronouns"
8520839,She should thank him.,A1,317,362,"basic verbs & actions,personal pronouns"
3178398,We should work together.,A1,331,363,"basic verbs & actions,personal pronouns"
11775659,Antonio told everyone.,A1,319,364,"basic verbs & actions,personal pronouns"
10017665,Maybe Yanni is right.,A1,338,365,basic verbs & actions
12878307,I was open.,A1,314,366,"basic verbs & actions,personal pronouns"
4012453,Maybe we could work together.,A1,338,367,basic verbs & actions
9519793,You already know my story.,A1,341,368,"basic verbs & actions,personal pronouns,possession (my, your, his)"
456397,Much love to the children.,A1,318,369,family & relationships
9176486,Maybe this is love.,A1,338,370,"possession (my, your, his)"
3168075,Which one is your car?,A1,334,371,likes & dislikes
5857206,Of course I love her.,A1,343,372,
12498632,Did you tell the children a story?,A1,341,373,
3905366,"Of course, I told him.",A1,343,374,
7385665,She never got out of her car.,A1,334,375,colors & shapes
5852164,I have black hair.,A1,326,376,
5033446,Health is everything to me.,A1,345,377,
707450,I think we could be great friends.,A1,355,378,
11971618,Tell me your story.,A1,341,379,polite requests & manners
5988845,Thanks to her.,A1,362,380,
2362216,I just got the news.,A1,350,381,
12554790,What is health?,A1,345,382,
1941547,Is there anything important?,A1,347,383,
11559485,"Any news? ""No, nothing.""",A1,350,384,negation
320425,Both work and play are important.,A1,347,385,
1644796,"Yes, yes, of course.",A1,343,386,polite requests & manners
7215084,Sami is doing a new video.,A1,363,387,
8255186,Too much information!,A1,357,388,
7328933,Sami and I were just friends.,A1,355,389,family & relationships
2649233,Thanks again.,A1,362,390,polite requests & manners
3739689,"Great thanks, friends.",A1,362,391,polite requests & manners
2797441,I see him often.,A1,379,392,
2626614,Who is this important to?,A1,347,393,
7156298,Sami did a music video.,A1,363,394,
2697481,What do you guys think?,A1,373,395,
8243857,Do you think they play video games?,A1,363,396,sports
8944364,How much food is there?,A1,386,397,shopping & prices
9237512,Go get some food.,A1,386,398,basic verbs & actions
6601792,Any news?,A1,350,399,
2892800,Where did you get this information?,A1,357,400,
2869132,Why would I be friends with him?,A1,355,401,likes & dislikes
1786099,Tell me; who is this young man?,A1,364,402,greetings & introductions
12109651,May I tell you some information.,A1,357,403,polite requests & manners
2618221,You are the best guys.,A1,373,404,personal pronouns
4270210,How often do you work here?,A1,379,405,
2976906,The man is not young.,A1,364,406,negation
12597118,They are coming.,A1,383,407,"basic verbs & actions,personal pronouns"
5738238,I see no problem with this.,A1,391,408,negation
12175898,Give him some food.,A1,386,409,polite requests & manners
2951594,Come into my office.,A1,389,410,
7388027,She had a problem with her car.,A1,391,411,
12982176,I was with you guys.,A1,373,412,personal pronouns
7126862,How much would you have to pay?,A1,390,413,shopping & prices
6562197,How much did she pay you?,A1,390,414,shopping & prices
7252564,Sami is a social person.,A1,367,415,
3733395,We are almost there.,A1,395,416,
2543185,I was just coming to get you.,A1,383,417,basic verbs & actions
6840649,How does one become rich?,A1,381,418,sports
1078147,I am young.,A1,364,419,personal pronouns
10598413,How often do you work out?,A1,379,420,
12113578,People are coming out.,A1,383,421,
1269282,Think about pay day.,A1,390,422,
9444607,I know almost nothing about him.,A1,395,423,negation
5951567,This number is too large.,A1,399,424,numbers & counting
3821819,How are things at the office?,A1,389,425,
298354,He is out of the office.,A1,389,426,
11969141,"My, your house is large.",A1,399,427,"possession (my, your, his)"
11993285,"Some things about Tom are true, some are not.",A1,393,428,negation
10690280,"No, I do not see anyone.",A1,411,429,negation
8523033,Things started out great.,A1,405,430,
13216139,The girl is not here too.,A1,413,431,negation
3819940,How large are they?,A1,399,432,
11290889,A true friend is hard to find.,A1,420,433,family & relationships
248161,We should look into the problem.,A1,391,434,
11763387,She is not a girl.,A1,413,435,negation
52566,John started the car.,A1,405,436,
6265148,I did almost the same thing.,A1,395,437,
12026506,I believe some of these things are true.,A1,393,438,
5817789,"Nice work, Jim.",A1,423,439,polite requests & manners
302628,He is close to her.,A1,431,440,
8445546,What game were you playing?,A1,424,441,sports
1607904,This is true love.,A1,393,442,emotions
3408763,How close are they?,A1,431,443,
8842327,I remember what I said.,A1,417,444,
246769,I owe what I am to my friend.,A1,420,445,family & relationships
11962499,Did you tell anyone about this?,A1,411,446,
3598164,Are you here with anyone?,A1,411,447,
12160659,What if Tom comes?,A1,432,448,
12626787,"You remember me, right?",A1,417,449,greetings & introductions
12565031,He has started his work.,A1,405,450,
3303474,Look at the girl with the long hair there.,A1,413,451,
11749218,Diego was really close to Melissa.,A1,431,452,family & relationships
66702,He is nice.,A1,423,453,personal pronouns
11444753,She had no idea.,A1,434,454,negation
5014222,Everything looks great.,A1,436,455,
260900,I remember him well.,A1,417,456,
7252559,"Sami was with his friend, Farid.",A1,420,457,family & relationships
2996961,Does anyone have any idea what this is all about?,A1,434,458,asking for help
9981530,I was just playing!,A1,424,459,basic verbs & actions
33134,There she comes.,A1,432,460,
6867293,Sami was really nice.,A1,423,461,
8476980,He looks rich.,A1,436,462,
7149108,Sami is happy with them.,A1,443,463,emotions
11632080,Gunter was playing a new game.,A1,424,464,sports
321498,Do you know where my watch is?,A1,461,465,"possession (my, your, his)"
5850639,I got here late.,A1,456,466,
11252501,May I ask who this is about?,A1,453,467,polite requests & manners
8334972,He always looks happy.,A1,443,468,emotions
2331678,I had no idea what I was doing.,A1,434,469,negation
2713717,We are really late.,A1,456,470,"telling time,basic verbs & actions"
2186489,I love a woman.,A1,452,471,likes & dislikes
11612498,She is the woman I love.,A1,452,472,likes & dislikes
6645798,This looks important.,A1,436,473,basic verbs & actions
3920119,You should ask him.,A1,453,474,"personal pronouns,asking for help,basic verbs & actions"
11618401,She was late to work.,A1,456,475,"telling time,basic verbs & actions"
306525,They are happy.,A1,443,476,emotions
7494502,Where did she buy these?,A1,476,477,shopping & prices
13055628,The woman is short.,A1,472,478,colors & shapes
1826114,They are about your age.,A1,475,479,"personal pronouns,numbers & counting"
2892277,This one is special.,A1,460,480,basic verbs & actions
1795006,Coming soon.,A1,482,481,future plans & goals
11868594,We should do something special.,A1,460,482,"basic verbs & actions,future plans & goals"
2141138,He and I are the same age.,A1,475,483,"personal pronouns,numbers & counting"
10794674,Must I give him a reason?,A1,479,484,"personal pronouns,asking for help,negation"
12090664,He is short of money.,A1,472,485,"basic verbs & actions,possession (my, your, his)"
12451041,Did you get anything special?,A1,460,486,"basic verbs & actions,negation"
7486841,Where did she see the woman?,A1,452,487,"personal pronouns,asking for help"
2192131,There is no reason.,A1,479,488,negation
1954282,Watch me.,A1,461,489,basic verbs & actions
12766449,What did they ask?,A1,453,490,asking for help
12214191,Do you have a watch?,A1,461,491,telling time
6810176,Sami was short.,A1,472,492,"possession (my, your, his)"
5485496,He should be here soon.,A1,482,493,future plans & goals
7733502,We should get there soon.,A1,482,494,future plans & goals
1673213,Where did you buy your car?,A1,476,495,shopping & prices
8017407,They are all my age.,A1,475,496,"personal pronouns,numbers & counting"
3168046,You should really get one of these.,A1,500,497,"personal pronouns,basic verbs & actions"
9345616,You have a big heart!,A1,491,498,emotions
2253833,Turn this way.,A1,484,499,directions & locations
12658575,Ask yourself.,A1,496,500,"asking for help,basic verbs & actions"
4011530,Did you really do this all by yourself?,A1,496,501,"negation,basic verbs & actions,personal pronouns"
3168175,"Thanks, I owe you one.",A1,500,502,polite requests & manners
12766538,Why did he turn out the way he did?,A1,484,503,"basic verbs & actions,personal pronouns"
6268475,Did I buy the right thing?,A1,476,504,"basic verbs & actions,possession (my, your, his)"
5215295,I have a reason to be here.,A1,479,505,"basic verbs & actions,personal pronouns"
3738944,Did you buy what I asked you to buy?,A1,499,506,"basic verbs & actions,personal pronouns"
10713640,You should go and have a look yourself.,A1,496,507,"personal pronouns,basic verbs & actions"
6268305,Tom asked Mary what she was looking at.,A1,499,508,"basic verbs & actions,personal pronouns,asking for help"
6325413,Sami was just a child.,A1,500,509,"number & counting,basic verbs & actions"
9819901,Yanni had a change of heart.,A1,491,510,basic verbs & actions
7052457,My heart is full.,A1,491,511,emotions
10671926,Did you do what they asked you to do?,A1,499,512,"personal pronouns,basic verbs & actions"
8307666,I have to say yes.,A2,301,1,"basic verbs & actions,future plans & goals"
6266433,I have time to do that now.,A2,72,2,"telling time,basic verbs & actions"
2331587,"I had a good time, too.",A2,121,3,basic verbs & actions
2031545,I want to believe that everything's all right.,A2,286,4,"basic verbs & actions,future plans & goals"
5651800,She never really got over him.,A2,132,5,"basic verbs & actions,personal pronouns,negation"
3920754,This isn't about him.,A2,82,6,"negation,personal pronouns"
75,Where is the bus station?,A2,1554,7,directions & locations
136,He is twenty-three.,A2,20001,8,numbers & counting
96,I lost my wallet.,A2,5648,9,"possession (my, your, his),basic verbs & actions"
10157983,I do it because I can.,A2,97,10,basic verbs & actions
6607794,"Yes, a little.",A2,301,11,negation
138,Wait for twenty-five minutes.,A2,20001,12,numbers & counting
190,I don't have a reservation.,A2,7733,13,"at the restaurant,negation"
