German,Spanish
Das Handy liegt auf dem Sofa am Wochenende.,El móvil está en el sofá el fin de semana.
Heute ist das Wetter schön am Wochenende.,Hoy hace buen tiempo el fin de semana.
Heute regnet es am Wochenende.,Hoy llueve el fin de semana.
Heute ist es kalt am Wochenende.,Hoy hace frío el fin de semana.
Es wird morgen warm am Wochenende.,Mañana hará calor el fin de semana.
Ich lerne jeden Tag Spanisch am Wochenende.,Aprendo español todos los días el fin de semana.
Ich lerne jeden Tag Deutsch am Wochenende.,Aprendo alemán todos los días el fin de semana.
Kannst du mir helfen am Wochenende.,¿Puedes ayudarme el fin de semana.
Könnten Sie mir helfen am Wochenende.,¿Podría ayudarme el fin de semana.
Ich habe gestern einen Film gesehen am Wochenende.,Ayer vi una película el fin de semana.
Ich habe ein Buch gelesen am Wochenende.,Leí un libro el fin de semana.
Meine Familie wohnt in Berlin am Wochenende.,Mi familia vive en Berlín el fin de semana.
Meine Familie wohnt in Madrid am Wochenende.,Mi familia vive en Madrid el fin de semana.
Der Zug fährt um acht Uhr ab am Wochenende.,El tren sale a las ocho el fin de semana.
Der Bus fährt um neun Uhr ab am Wochenende.,El autobús sale a las nueve el fin de semana.
Ich verstehe das nicht am Wochenende.,No entiendo eso el fin de semana.
Kannst du das wiederholen am Wochenende.,¿Puedes repetirlo el fin de semana.
"Langsamer, bitte am Wochenende.","Más despacio, por favor el fin de semana."
Vielen Dank für deine Hilfe am Wochenende.,Muchas gracias por tu ayuda el fin de semana.
Bis später am Wochenende.,¡Hasta luego el fin de semana.
Bis morgen am Wochenende.,¡Hasta mañana el fin de semana.
Schönen Tag noch am Wochenende.,¡Que tengas buen día el fin de semana.
Auf Wiedersehen am Wochenende.,Adiós el fin de semana.
Gute Nacht am Wochenende.,Buenas noches el fin de semana.
Ich habe Hunger am Wochenende.,Tengo hambre el fin de semana.
Ich habe Durst am Wochenende.,Tengo sed el fin de semana.
Ich bin müde am Wochenende.,Estoy cansado el fin de semana.
Ich freue mich sehr am Wochenende.,Estoy muy contenta el fin de semana.
Es tut mir leid am Wochenende.,Lo siento el fin de semana.
Kein Problem am Wochenende.,No hay problema el fin de semana.
Keine Sorge am Wochenende.,No te preocupes el fin de semana.
Entschuldigung am Wochenende.,¡Perdón el fin de semana.
Komm herein am Wochenende.,¡Entra el fin de semana.
"Setz dich, bitte am Wochenende.","Siéntate, por favor el fin de semana."
Wo ist die Toilette am Wochenende.,¿Dónde está el baño el fin de semana.
Ich suche eine Apotheke am Wochenende.,Busco una farmacia el fin de semana.
Ich suche ein Restaurant am Wochenende.,Busco un restaurante el fin de semana.
Können wir die Rechnung haben am Wochenende.,¿Nos trae la cuenta el fin de semana.
"Die Rechnung, bitte am Wochenende.","La cuenta, por favor el fin de semana."
Ich bezahle bar am Wochenende.,Pago en efectivo el fin de semana.
Ich bezahle mit Karte am Wochenende.,Pago con tarjeta el fin de semana.
Können Sie mir das empfehlen am Wochenende.,¿Me lo puede recomendar el fin de semana.
Das schmeckt sehr gut am Wochenende.,Está muy rico el fin de semana.
Das schmeckt mir nicht am Wochenende.,No me gusta el fin de semana.
Wie viele Leute am Wochenende.,¿Cuántas personas el fin de semana.
Wir sind zu zweit am Wochenende.,Somos dos el fin de semana.
Wir sind zu viert am Wochenende.,Somos cuatro el fin de semana.
Ich habe einen Tisch reserviert am Wochenende.,He reservado una mesa el fin de semana.
Um wie viel Uhr öffnen Sie am Wochenende.,¿A qué hora abren el fin de semana.
Um wie viel Uhr schließen Sie am Wochenende.,¿A qué hora cierran el fin de semana.
Das Museum ist nicht weit am Wochenende.,El museo no está lejos el fin de semana.
Die Bibliothek schließt um acht am Wochenende.,La biblioteca cierra a las ocho el fin de semana.
Kannst du mich anrufen am Wochenende.,¿Puedes llamarme el fin de semana.
Ich rufe dich später an am Wochenende.,Te llamo más tarde el fin de semana.
Schreib mir eine Nachricht am Wochenende.,Mándame un mensaje el fin de semana.
Ich habe eine Frage am Wochenende.,Tengo una pregunta el fin de semana.
Darf ich fragen am Wochenende.,¿Puedo preguntar el fin de semana.
Das ist interessant am Wochenende.,Eso es interesante el fin de semana.
Das ist kompliziert am Wochenende.,Eso es complicado el fin de semana.
Das ist einfach am Wochenende.,Eso es fácil el fin de semana.
Ich weiß es nicht am Wochenende.,No lo sé el fin de semana.
Ich bin mir nicht sicher am Wochenende.,No estoy seguro el fin de semana.
Ich denke schon am Wochenende.,Creo que sí el fin de semana.
Ich glaube nicht am Wochenende.,Creo que no el fin de semana.
Das stimmt am Wochenende.,Es cierto el fin de semana.
Das stimmt nicht am Wochenende.,No es cierto el fin de semana.
Ich muss los am Wochenende.,Tengo que irme el fin de semana.
Ich komme gleich am Wochenende.,Ahora vuelvo el fin de semana.
